Wires      Total Counts    CT Counts    CT (%)
326 327    634             5            0.788644
327 328    625             5            0.8
328 329    619             4            0.646204
329 330    590             4            0.677966
330 331    594             4            0.673401
331 332    570             2            0.350877
332 333    581             3            0.516351
333 334    584             4            0.684932
334 335    605             6            0.991736
335 336    575             3            0.521739
336 337    553             4            0.723327
337 338    542             4            0.738007
338 339    525             11            2.09524
339 340    522             5            0.957854
340 341    505             6            1.18812
341 342    508             7            1.37795
342 343    478             7            1.46444
343 344    461             4            0.867679
344 345    435             7            1.6092
345 346    430             2            0.465116
346 347    396             2            0.505051
347 348    364             3            0.824176
348 349    360             6            1.66667
349 350    342             3            0.877193
350 351    320             1            0.3125
351 352    302             1            0.331126
352 353    291             6            2.06186
353 354    256             3            1.17188
354 355    223             4            1.79372
355 356    196             0            0
356 357    171             1            0.584795
357 358    150             1            0.666667
358 359    135             1            0.740741
359 360    122             1            0.819672
360 361    106             0            0
361 362    86             0            0
362 363    73             0            0
363 364    69             0            0
364 365    52             1            1.92308
365 366    39             0            0
366 367    24             1            4.16667
367 368    0             0            -nan
368 369    0             0            -nan
369 370    0             0            -nan
370 371    0             0            -nan
371 372    0             0            -nan
372 373    0             0            -nan
373 374    0             0            -nan
374 375    0             0            -nan
375 376    0             0            -nan
376 377    0             0            -nan
377 378    0             0            -nan
378 379    0             0            -nan
379 380    0             0            -nan
380 381    0             0            -nan
381 382    0             0            -nan
382 383    0             0            -nan
383 384    0             0            -nan
384 385    0             0            -nan
385 386    0             0            -nan
386 387    0             0            -nan
387 388    0             0            -nan
388 389    0             0            -nan
389 390    0             0            -nan
390 391    0             0            -nan
391 392    0             0            -nan
392 393    0             0            -nan
393 394    0             0            -nan
394 395    0             0            -nan
395 396    0             0            -nan
396 397    0             0            -nan
397 398    0             0            -nan
398 399    0             0            -nan
